state,substate,n_sql,dwell_min_s,dwell_p50_s,dwell_p95_s,dwell_max_s,dwell_sum_s,n_loki,loki_p50_s,prom_entered,prom_p50_s,prom_p95_s,flags
bomvalidating,*,10,2.14,2.15,2.58,2.58,21.92,10,2.14,10,,,
created,*,10,0.00,0.00,0.00,0.00,0.00,0,,,,,
dpudiscoveringstate,*,110,0.03,2.34,2.62,2.62,237.19,110,2.32,100,,,
dpuinit,*,60,2.00,2.48,135.39,138.07,1543.04,60,2.41,60,,,
hostinit,*,210,2.02,2.36,94.73,332.60,4550.24,210,2.34,210,,,
ready,*,0,,,,,,0,,10,,,SQL_OPEN(10)
validation,*,10,2.00,2.39,2.40,2.40,23.55,10,2.38,10,,,
waitingforcleanup,*,20,2.20,144.72,287.25,287.26,2894.47,20,144.69,20,,,
bomvalidating,,10,2.14,2.15,2.58,2.58,21.92,0,,,,,
bomvalidating,matchingsku,0,,,,,,10,2.14,10,3.00,4.80,
created,,10,0.00,0.00,0.00,0.00,0.00,0,,,,,
dpudiscoveringstate,configuring,0,,,,,,10,2.00,10,3.00,4.80,
dpudiscoveringstate,configuring+initializing,10,2.57,2.58,2.58,2.58,25.76,0,,,,,
dpudiscoveringstate,configuring+rebootalldpus,10,2.02,2.03,2.50,2.50,20.73,0,,,,,
dpudiscoveringstate,disablesecureboot+initializing,10,2.33,2.51,2.52,2.52,24.94,0,,,,,
dpudiscoveringstate,disablesecureboot+rebootalldpus,10,2.44,2.62,2.62,2.62,26.00,0,,,,,
dpudiscoveringstate,enablershim+initializing,10,0.03,0.04,2.54,2.54,2.90,0,,,,,
dpudiscoveringstate,enablershim+rebootalldpus,10,2.49,2.50,2.62,2.62,25.08,0,,,,,
dpudiscoveringstate,initializing,10,1.62,2.01,2.40,2.40,20.11,60,2.31,50,2.65,4.76,
dpudiscoveringstate,initializing+rebootalldpus,10,2.03,2.34,2.34,2.34,23.07,0,,,,,
dpudiscoveringstate,initializing+setuefihttpboot,10,2.32,2.32,2.34,2.34,23.26,0,,,,,
dpudiscoveringstate,rebootalldpus,10,2.08,2.09,2.50,2.50,21.27,40,2.45,40,3.00,4.80,
dpudiscoveringstate,rebootalldpus+setuefihttpboot,10,2.07,2.44,2.45,2.45,24.05,0,,,,,
dpuinit,init,10,6.75,6.76,34.24,34.24,95.04,10,6.73,10,10.56,45.00,
dpuinit,pollingbiossetup+waitingforplatformconfiguration,10,2.00,2.00,2.10,2.10,20.14,0,,,,,
dpuinit,waitingfornetworkconfig+waitingforplatformconfiguration,10,2.17,2.38,2.39,2.39,23.63,0,,,,,
dpuinit,waitingforplatformconfiguration,10,2.57,2.57,2.69,2.69,25.85,30,2.38,30,3.00,4.80,
dpuinit,waitingforplatformpowercycle,20,2.16,68.82,135.39,138.07,1378.38,20,68.79,20,5.00,282.00,
hostinit,discovered,10,2.21,2.21,2.57,2.57,22.48,10,2.20,10,3.00,4.80,
