state,substate,n_sql,dwell_min_s,dwell_p50_s,dwell_p95_s,dwell_max_s,dwell_sum_s,n_loki,loki_p50_s,prom_entered,prom_p50_s,prom_p95_s,flags
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""7bda67fe-0d33-4a4d-9ae4-d3f95547d5b7""}}}",1,2.12,2.12,2.12,2.12,2.12,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""7cd35b8e-47f1-4c5d-9a03-880182243b60""}}}",1,2.49,2.49,2.49,2.49,2.49,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""84948d7f-48ad-411f-921a-32a6b13f8487""}}}",1,2.52,2.52,2.52,2.52,2.52,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""8aa32d83-a090-4f67-96c7-6d8bb383d66c""}}}",1,2.04,2.04,2.04,2.04,2.04,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""8cb9bfa4-cead-4e6f-929c-0296917fb2c9""}}}",1,2.48,2.48,2.48,2.48,2.48,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""9a950319-fc9e-4239-88e4-2cb634da6198""}}}",1,2.04,2.04,2.04,2.04,2.04,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""9f973807-3247-4c60-9c9c-d195b9b31792""}}}",1,2.12,2.12,2.12,2.12,2.12,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""b18aa23b-0364-4704-9618-4b23f66ac957""}}}",1,2.12,2.12,2.12,2.12,2.12,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""c0680396-e930-487d-9c95-069469ef87e3""}}}",1,2.05,2.05,2.05,2.05,2.05,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""c2c543f6-60be-47d3-bb2b-6019fb0563bd""}}}",1,2.21,2.21,2.21,2.21,2.21,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""cb13a2d5-056b-4988-8974-60732c2b4c92""}}}",1,2.22,2.22,2.22,2.22,2.22,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""ce89b6d8-b0ba-4b36-95c2-1a03e22abf3c""}}}",1,2.12,2.12,2.12,2.12,2.12,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""d55ae99f-69e9-4c88-bffd-c0997cdd485e""}}}",1,2.49,2.49,2.49,2.49,2.49,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""e66a891e-02fb-43a1-b094-f39762b09cf6""}}}",1,2.36,2.36,2.36,2.36,2.36,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""fcb3ffa5-317e-4d25-98ff-5d9bb8ca9d50""}}}",1,2.22,2.22,2.22,2.22,2.22,0,,,,,
waitingforcleanup,hostcleanup,25,268.40,275.41,316.13,323.09,7071.33,25,275.39,25,227.14,506.25,
waitingforcleanup,init,25,2.00,2.63,6.93,7.02,92.93,25,2.62,25,3.27,10.83,
