state,substate,n_sql,dwell_min_s,dwell_p50_s,dwell_p95_s,dwell_max_s,dwell_sum_s,n_loki,loki_p50_s,prom_entered,prom_p50_s,prom_p95_s,flags
bomvalidating,*,100,2.03,13.86,24.80,24.80,1640.66,100,13.85,100,,,
created,*,100,0.00,0.00,0.00,0.00,0.00,0,,,,,
dpudiscoveringstate,*,1100,1.96,22.62,24.23,26.02,21784.46,1100,22.58,1000,,,
dpuinit,*,600,2.06,23.00,145.54,166.41,23924.47,600,22.95,600,,,
hostinit,*,2100,2.06,23.35,147.65,351.36,83449.78,2100,23.33,2100,,,
ready,*,0,,,,,,0,,100,,,SQL_OPEN(100)
validation,*,100,2.22,19.18,23.76,24.19,1748.09,100,19.16,100,,,
waitingforcleanup,*,200,16.21,63.07,131.57,169.28,13741.90,200,63.04,200,,,
bomvalidating,,100,2.03,13.86,24.80,24.80,1640.66,0,,,,,
bomvalidating,matchingsku,0,,,,,,100,13.85,100,13.60,28.26,
created,,100,0.00,0.00,0.00,0.00,0.00,0,,,,,
dpudiscoveringstate,configuring,0,,,,,,100,22.77,100,22.50,29.25,
dpudiscoveringstate,configuring+initializing,100,2.32,18.60,23.68,23.99,1560.96,0,,,,,
dpudiscoveringstate,configuring+rebootalldpus,100,18.63,22.79,23.69,24.01,2265.25,0,,,,,
dpudiscoveringstate,disablesecureboot+initializing,100,8.69,23.42,24.32,24.34,1864.12,0,,,,,
dpudiscoveringstate,disablesecureboot+rebootalldpus,100,20.09,23.30,24.30,24.32,2302.76,0,,,,,
dpudiscoveringstate,enablershim+initializing,100,6.66,21.13,23.46,23.49,1705.25,0,,,,,
dpudiscoveringstate,enablershim+rebootalldpus,100,20.97,23.31,24.61,24.86,2329.26,0,,,,,
dpudiscoveringstate,initializing,100,1.96,10.80,24.22,26.02,1211.41,600,19.12,500,18.83,28.88,
dpudiscoveringstate,initializing+rebootalldpus,100,13.10,22.63,24.31,24.32,2182.90,0,,,,,
dpudiscoveringstate,initializing+setuefihttpboot,100,9.30,22.46,23.38,23.42,2029.00,0,,,,,
dpudiscoveringstate,rebootalldpus,100,13.53,22.59,23.76,24.11,2134.35,400,23.04,400,22.19,29.22,
dpudiscoveringstate,rebootalldpus+setuefihttpboot,100,13.60,22.94,24.61,24.85,2199.18,0,,,,,
dpuinit,init,100,13.67,21.70,23.94,24.13,2025.89,100,21.65,100,21.18,29.12,
dpuinit,pollingbiossetup+waitingforplatformconfiguration,100,2.43,24.06,26.05,28.62,1904.27,0,,,,,
dpuinit,waitingfornetworkconfig+waitingforplatformconfiguration,100,2.06,22.68,26.61,28.88,2199.16,0,,,,,
dpuinit,waitingforplatformconfiguration,100,4.76,21.01,23.37,23.66,1913.14,300,22.66,300,20.59,29.06,
dpuinit,waitingforplatformpowercycle,200,11.75,72.47,149.93,166.41,15882.01,200,72.44,200,30.00,282.00,
hostinit,discovered,100,2.07,19.20,23.45,23.45,1704.59,100,19.18,100,15.85,28.58,
hostinit,enableipmioverlan,100,2.06,23.58,28.94,31.47,2151.43,100,23.55,100,20.21,29.58,
hostinit,machinestatemeasuring,0,,,,,,100,22.70,100,23.49,49.29,
hostinit,machinestatespdmmeasuring,0,,,,,,100,19.91,100,24.08,52.50,
hostinit,measuring,100,14.02,22.70,45.01,45.02,2351.66,0,,,,,
hostinit,pollingbiossetup,100,9.15,24.69,28.32,28.89,2482.40,100,24.66,100,22.35,29.23,
hostinit,setbootorder,200,9.15,23.58,44.93,45.26,5440.74,200,23.56,200,24.58,53.18,
hostinit,spdmmeasuring,100,13.90,19.91,33.40,33.71,2201.83,0,,,,,
hostinit,uefisetup,400,6.60,20.09,23.95,25.20,7176.94,400,20.07,400,17.90,28.79,
hostinit,waitingforbiosjob,300,2.55,24.86,44.73,47.29,8242.94,300,24.83,300,25.38,54.71,
hostinit,waitingfordiscovery,200,7.25,19.33,42.45,47.27,4377.69,200,19.31,200,22.70,48.89,
hostinit,waitingforlockdown,400,2.48,28.24,330.87,351.36,44970.40,400,28.21,400,30.00,540.00,
hostinit,waitingforplatformconfiguration,100,2.16,24.39,26.94,27.03,2349.16,100,24.37,100,22.27,29.23,
ready,,0,,,,,,0,,100,,,SQL_OPEN(100)
validation,reboothost,0,,,,,,100,19.16,100,18.81,28.88,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""04238973-855b-4be2-9930-9601447c2d64""}}}",1,16.55,16.55,16.55,16.55,16.55,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""08f39c2b-2e3b-4cd6-990b-fc16a4fcd105""}}}",1,21.74,21.74,21.74,21.74,21.74,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""09befeed-3ba9-43c7-ae0d-1c9b85b040a2""}}}",1,14.39,14.39,14.39,14.39,14.39,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""0aaed3dc-446f-4ed9-b174-8be589e4e4ba""}}}",1,21.74,21.74,21.74,21.74,21.74,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""0f74e5d9-8f5d-4c76-a3d2-91faaeca3122""}}}",1,16.55,16.55,16.55,16.55,16.55,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""116372be-156f-4825-9dca-9fdacad725c8""}}}",1,2.22,2.22,2.22,2.22,2.22,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""13b42d6a-c631-46a4-8b54-c466569432bb""}}}",1,23.62,23.62,23.62,23.62,23.62,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""13d172de-4360-40b8-bb6e-91449cc7b292""}}}",1,22.27,22.27,22.27,22.27,22.27,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""1431b62e-ad91-48b5-9fb8-2326c7b0fdce""}}}",1,23.76,23.76,23.76,23.76,23.76,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""15f44640-7272-40c5-96fd-552ad03bab7c""}}}",1,23.75,23.75,23.75,23.75,23.75,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""16b6dfb2-e161-4284-9ba0-2155ea3227e9""}}}",1,14.05,14.05,14.05,14.05,14.05,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""18a8c056-9053-4543-991c-9ff18b059eb9""}}}",1,22.27,22.27,22.27,22.27,22.27,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""19d17db2-1f97-4e2c-a044-9efd700806f1""}}}",1,22.27,22.27,22.27,22.27,22.27,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""1e4350c7-b546-408a-921c-7b216009bf86""}}}",1,21.74,21.74,21.74,21.74,21.74,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""25566cd3-7a02-4bc4-ae9d-d9a221c261cf""}}}",1,16.80,16.80,16.80,16.80,16.80,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""25a9968a-015c-4db6-8c1b-3b8a47fcf987""}}}",1,16.80,16.80,16.80,16.80,16.80,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""2757632d-788e-4974-95d7-fac2033f297d""}}}",1,14.05,14.05,14.05,14.05,14.05,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""2766c75d-d709-4bc6-a5d7-5eea32438e55""}}}",1,19.17,19.17,19.17,19.17,19.17,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""356efb43-e812-4515-af8b-34aca584020a""}}}",1,16.80,16.80,16.80,16.80,16.80,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""36918244-5c5f-443e-b4c4-ad2dfd24fcc4""}}}",1,21.75,21.75,21.75,21.75,21.75,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""3d48d2b3-4378-4307-bad4-cbe5a9a6a733""}}}",1,13.37,13.37,13.37,13.37,13.37,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""411562df-ddc0-4f9c-818e-b33eaa189ea4""}}}",1,16.64,16.64,16.64,16.64,16.64,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""418b607b-bed4-4aa3-8d74-03fabd079ae4""}}}",1,14.05,14.05,14.05,14.05,14.05,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""422ed3ee-bedf-4335-b404-e95b337c9b02""}}}",1,14.04,14.04,14.04,14.04,14.04,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""425719bd-8f33-4238-a641-fb4a6437aa6b""}}}",1,23.62,23.62,23.62,23.62,23.62,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""42be6f37-92d0-46ae-b00d-ae296a649473""}}}",1,2.39,2.39,2.39,2.39,2.39,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""43160f4c-c621-4eac-af81-a0899496d117""}}}",1,22.83,22.83,22.83,22.83,22.83,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""4484fc17-1fa9-4132-8c0e-e5518424c09f""}}}",1,23.75,23.75,23.75,23.75,23.75,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""46886d20-612a-49b4-b499-ef091739cba0""}}}",1,10.78,10.78,10.78,10.78,10.78,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""4749ea0d-fb81-4681-9334-9e0571f2ac28""}}}",1,22.27,22.27,22.27,22.27,22.27,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""47e58e67-6d1d-480e-b95b-e9695014a657""}}}",1,11.30,11.30,11.30,11.30,11.30,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""493715cb-cf37-439e-8c03-6b09e02f920e""}}}",1,14.05,14.05,14.05,14.05,14.05,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""4b824133-e831-40f9-a9ae-a5516734837d""}}}",1,21.72,21.72,21.72,21.72,21.72,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""4d2f5f27-b9c1-4995-a5a6-784b840da7ed""}}}",1,21.19,21.19,21.19,21.19,21.19,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""50393e2f-dd3e-4d03-acfa-2d731e70d0ea""}}}",1,23.62,23.62,23.62,23.62,23.62,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""565e649b-3980-408c-a14f-a04f8721ed9d""}}}",1,23.62,23.62,23.62,23.62,23.62,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""59bb1cb8-8286-4ec6-a9d4-1ba17682f3ec""}}}",1,16.55,16.55,16.55,16.55,16.55,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""5b108338-0171-44b2-a2ff-624ed7c1d2a3""}}}",1,14.05,14.05,14.05,14.05,14.05,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""5d73052f-9fe9-4995-9e5b-c3ee90d55a15""}}}",1,22.27,22.27,22.27,22.27,22.27,0,,,,,
