state,substate,n_sql,dwell_min_s,dwell_p50_s,dwell_p95_s,dwell_max_s,dwell_sum_s,n_loki,loki_p50_s,prom_entered,prom_p50_s,prom_p95_s,flags
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""5e6aeb0f-d585-417c-a5c9-401cf45b6890""}}}",1,13.37,13.37,13.37,13.37,13.37,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""61a83a01-a4be-4211-a537-fffc7618faa7""}}}",1,23.76,23.76,23.76,23.76,23.76,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""62650963-ba29-4024-aa82-76f458d38b9f""}}}",1,23.76,23.76,23.76,23.76,23.76,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""6492205f-5483-4f14-9865-450ccc54d50c""}}}",1,10.78,10.78,10.78,10.78,10.78,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""69cfd175-a215-46d8-9e53-5e1335818398""}}}",1,21.70,21.70,21.70,21.70,21.70,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""71e83227-567d-4a56-b3d4-4cf0d03bbeef""}}}",1,21.75,21.75,21.75,21.75,21.75,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""72a37b8e-8800-4bbb-9e57-9f8a401f6c24""}}}",1,4.67,4.67,4.67,4.67,4.67,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""730ea00b-d6c1-4674-83dc-8a891ddea65e""}}}",1,21.98,21.98,21.98,21.98,21.98,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""790d0d80-1a97-407f-9d46-ab82d24a47fd""}}}",1,24.05,24.05,24.05,24.05,24.05,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""79dbccd3-027b-4f02-96c4-2e0af61f9f12""}}}",1,6.86,6.86,6.86,6.86,6.86,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""7c69bc36-c9eb-4b8a-89c1-f31de914a3a0""}}}",1,14.06,14.06,14.06,14.06,14.06,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""7c7c4c23-5ca1-4ae5-b681-f2360e28b2b7""}}}",1,21.19,21.19,21.19,21.19,21.19,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""7d336d65-2932-4822-a9a2-6358bb08c488""}}}",1,11.30,11.30,11.30,11.30,11.30,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""7d568b23-93f8-44e1-b54a-4c67cfcaf27a""}}}",1,16.80,16.80,16.80,16.80,16.80,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""8337cc86-3ac1-41dd-a98c-ef49e4a37268""}}}",1,16.55,16.55,16.55,16.55,16.55,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""83413dcb-e601-4ff3-80f7-5aadc7c62ea7""}}}",1,10.78,10.78,10.78,10.78,10.78,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""86408051-9244-4031-a3cf-1ef0ceaae1a6""}}}",1,13.37,13.37,13.37,13.37,13.37,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""898893f2-70cf-4cca-b523-577337e9bf86""}}}",1,22.82,22.82,22.82,22.82,22.82,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""8df8b60b-f610-4682-9ed4-c8fb4a2fb13e""}}}",1,23.62,23.62,23.62,23.62,23.62,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""937dbbc8-dd88-4be8-aef7-df9ae7299155""}}}",1,11.32,11.32,11.32,11.32,11.32,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""9477e121-9686-4dce-bba8-1a5dc8a61f31""}}}",1,21.74,21.74,21.74,21.74,21.74,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""95423f3f-ff2e-4abb-8805-21276b9f7a45""}}}",1,22.82,22.82,22.82,22.82,22.82,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""96a4269e-2a25-4cee-9d9a-7ccadb8531b3""}}}",1,19.18,19.18,19.18,19.18,19.18,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""96f33d5a-79a2-488b-82e6-f9fb50684062""}}}",1,21.97,21.97,21.97,21.97,21.97,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""975e8c05-fd03-49c1-8569-acfb2894aeaf""}}}",1,21.19,21.19,21.19,21.19,21.19,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""98a2b15c-b148-4f95-a299-814f6eb9ebe9""}}}",1,16.55,16.55,16.55,16.55,16.55,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""98ac0e72-8ec9-4dc3-abf6-5a093e3517e5""}}}",1,14.06,14.06,14.06,14.06,14.06,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""9a926c47-a1cb-45d9-ad46-2584f8b24f11""}}}",1,21.74,21.74,21.74,21.74,21.74,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""9a9a5fc0-205b-4b32-b85c-2c19f6ef6990""}}}",1,23.75,23.75,23.75,23.75,23.75,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""9ac6b51c-c630-4c0a-89b4-2d9e16cb1855""}}}",1,2.42,2.42,2.42,2.42,2.42,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""9d4c4ca0-747b-4a7b-8b4a-d0eb03a59bd5""}}}",1,2.24,2.24,2.24,2.24,2.24,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""9f9f8158-ce77-4c10-b6e2-b963a6b2df8b""}}}",1,19.16,19.16,19.16,19.16,19.16,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""a55ec928-d08d-4e96-8f7a-8d1c809e1f7e""}}}",1,10.78,10.78,10.78,10.78,10.78,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""a58b966c-b28b-4dc4-87d5-6a9055294263""}}}",1,21.75,21.75,21.75,21.75,21.75,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""a7333bd9-e047-4a0b-93a2-b9b5e1e0b39a""}}}",1,22.00,22.00,22.00,22.00,22.00,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""a95884e6-8d94-4a15-8503-683dab78479a""}}}",1,22.27,22.27,22.27,22.27,22.27,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""aa1a1228-1985-4e19-b6e2-d6f0f43f84cb""}}}",1,23.76,23.76,23.76,23.76,23.76,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""aa3f741b-2b71-4901-84dd-275902c8be95""}}}",1,11.30,11.30,11.30,11.30,11.30,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""b119d2db-14ac-453f-9108-427199521a51""}}}",1,16.79,16.79,16.79,16.79,16.79,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""b32881ce-197d-4a94-9ccf-21cc3ee57136""}}}",1,10.79,10.79,10.79,10.79,10.79,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""b6717c5b-4a64-42d2-939d-80a0226583f5""}}}",1,21.97,21.97,21.97,21.97,21.97,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""b697dad6-5170-46cd-8b74-dcda1a79b55a""}}}",1,16.54,16.54,16.54,16.54,16.54,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""b8784742-e6a3-4220-aae7-c18858411eb5""}}}",1,21.19,21.19,21.19,21.19,21.19,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""bc6d7fa0-14fb-4468-a7e0-36058b9baa59""}}}",1,21.97,21.97,21.97,21.97,21.97,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""bdd2d791-e468-487b-9fc3-08b763e2516c""}}}",1,4.28,4.28,4.28,4.28,4.28,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""c2a727f2-38bb-4f3b-8321-86ac2f215673""}}}",1,23.76,23.76,23.76,23.76,23.76,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""c924cc5e-1ba0-4824-a99b-5ad10d482186""}}}",1,2.24,2.24,2.24,2.24,2.24,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""cb91cef8-3d0b-44b7-98e0-8afe30a067de""}}}",1,16.55,16.55,16.55,16.55,16.55,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""d8d3a753-a327-4723-8278-ab6200044374""}}}",1,11.30,11.30,11.30,11.30,11.30,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""d9150608-ada0-47cb-83f0-2e31fea05e66""}}}",1,24.19,24.19,24.19,24.19,24.19,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""dcd58499-b514-44d7-9de9-511d980e2186""}}}",1,11.30,11.30,11.30,11.30,11.30,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""df757888-c179-4d1b-893c-22adc97466c3""}}}",1,2.46,2.46,2.46,2.46,2.46,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""e4861f7f-7208-4d91-ae65-9a1294331469""}}}",1,23.62,23.62,23.62,23.62,23.62,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""e8faca1a-08f2-4f08-8540-90ee61ea9b65""}}}",1,22.31,22.31,22.31,22.31,22.31,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""ead37cf1-eb23-4acd-85e2-4557de9112e7""}}}",1,16.54,16.54,16.54,16.54,16.54,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""ecc98f69-0fc0-46c5-9e36-95bae695a283""}}}",1,16.53,16.53,16.53,16.53,16.53,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""f11d837a-74f3-475e-9c0a-f714d7481603""}}}",1,21.71,21.71,21.71,21.71,21.71,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""f2a97a41-cf3c-4e07-878a-fcc1d5743156""}}}",1,23.61,23.61,23.61,23.61,23.61,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""fe2b6a10-e8f8-499b-8230-2678db96642f""}}}",1,13.37,13.37,13.37,13.37,13.37,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""fe3786f7-c17e-4000-a607-d64698d0cdf5""}}}",1,23.75,23.75,23.75,23.75,23.75,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""fed7c66a-e19a-4baa-804e-2043c46105bb""}}}",1,23.76,23.76,23.76,23.76,23.76,0,,,,,
waitingforcleanup,hostcleanup,100,80.98,115.29,134.11,169.28,11295.83,100,115.26,100,102.86,270.00,
waitingforcleanup,init,100,16.21,23.95,27.94,45.16,2446.07,100,23.93,100,22.89,30.00,
