state,substate,n_sql,dwell_min_s,dwell_p50_s,dwell_p95_s,dwell_max_s,dwell_sum_s,n_loki,loki_p50_s,prom_entered,prom_p50_s,prom_p95_s,flags
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""2fe3e5c8-0387-45ba-bbb7-b5358dd830e4""}}}",1,9.47,9.47,9.47,9.47,9.47,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""433eefff-3cbe-43da-bb62-69052de4bc0f""}}}",1,7.24,7.24,7.24,7.24,7.24,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""442a8805-b60e-4d53-9cd6-3a85141ca345""}}}",1,9.60,9.60,9.60,9.60,9.60,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""4a7264aa-1cb5-4d60-8f45-791bd6a39893""}}}",1,9.42,9.42,9.42,9.42,9.42,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""4b5ce6c0-1ec1-4e06-85ce-edca0c944309""}}}",1,9.43,9.43,9.43,9.43,9.43,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""4d002387-97da-462f-b83e-9a8a56e39f6c""}}}",1,2.44,2.44,2.44,2.44,2.44,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""4f8b299c-fcb1-4fe5-bf21-2db9f4c37d74""}}}",1,9.11,9.11,9.11,9.11,9.11,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""579e8991-2a88-46a4-869d-cba0dfc6c8e8""}}}",1,7.04,7.04,7.04,7.04,7.04,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""582d28e6-e4a8-4a5b-bea2-5262b85b7ec8""}}}",1,9.11,9.11,9.11,9.11,9.11,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""5eaec16c-56d2-4bd4-a759-80cc8c758236""}}}",1,2.64,2.64,2.64,2.64,2.64,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""600785a0-af1b-4c50-ace3-23204a8ed54a""}}}",1,2.45,2.45,2.45,2.45,2.45,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""659549c9-927c-4825-9d5b-51193a55cfde""}}}",1,6.75,6.75,6.75,6.75,6.75,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""6993169a-6f46-40a9-a88f-e4e11e73420f""}}}",1,9.39,9.39,9.39,9.39,9.39,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""6cf7400d-33d6-471c-a586-86264a01476d""}}}",1,2.30,2.30,2.30,2.30,2.30,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""72aaa137-88ff-4abc-ad98-fc560fc164a0""}}}",1,9.41,9.41,9.41,9.41,9.41,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""7aa6b9fe-a9a4-406e-8f42-7fd8c45685c6""}}}",1,9.41,9.41,9.41,9.41,9.41,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""8180dd93-b3f1-4a02-b0b7-923e1a9039fb""}}}",1,2.30,2.30,2.30,2.30,2.30,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""8d400602-7a75-4bd5-b18c-57db39c10975""}}}",1,9.12,9.12,9.12,9.12,9.12,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""8ebb63f6-141f-44a8-922b-d7503705aa38""}}}",1,6.98,6.98,6.98,6.98,6.98,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""95c63afb-70ee-40ba-8597-8a699c4f4378""}}}",1,2.44,2.44,2.44,2.44,2.44,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""9ff21f84-e9ee-493b-9664-4cbf7a8c4288""}}}",1,9.60,9.60,9.60,9.60,9.60,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""a3a66e60-3ab9-44c4-9821-d5654c8c8c1e""}}}",1,2.48,2.48,2.48,2.48,2.48,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""a588808e-35bf-4e09-b2ba-e69d462d382d""}}}",1,6.76,6.76,6.76,6.76,6.76,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""aeff950d-2af9-4e88-a26a-9e0c5e1eb3b9""}}}",1,9.60,9.60,9.60,9.60,9.60,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""b537dede-dbed-4f2a-8467-fd151ddd3370""}}}",1,9.11,9.11,9.11,9.11,9.11,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""baa52ecb-ee31-4b2a-85e5-d9209dc51301""}}}",1,6.75,6.75,6.75,6.75,6.75,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""bd9605a4-4438-42bf-a843-83155ca988a0""}}}",1,6.97,6.97,6.97,6.97,6.97,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""bdaa16cd-5b32-4463-aa36-b3b036751347""}}}",1,6.98,6.98,6.98,6.98,6.98,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""c156846f-fa0b-4d40-bcbc-1061c92ae9d5""}}}",1,2.45,2.45,2.45,2.45,2.45,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""c94e0982-f984-496d-9468-278f46bd90a4""}}}",1,2.30,2.30,2.30,2.30,2.30,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""ce61ad9c-fa91-4bd0-9c9f-ccbd6bdcb3b0""}}}",1,2.30,2.30,2.30,2.30,2.30,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""d1045145-c3de-4299-955f-4ca682abc7ae""}}}",1,2.47,2.47,2.47,2.47,2.47,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""d7cc37d9-7b0e-4e9a-97ee-ef8484d7732e""}}}",1,6.99,6.99,6.99,6.99,6.99,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""d7dd8f4e-7064-451e-92c5-4fb2799d4cc5""}}}",1,9.09,9.09,9.09,9.09,9.09,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""db08e608-9180-448b-a065-81fcf44528bb""}}}",1,9.41,9.41,9.41,9.41,9.41,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""e34e4918-46fd-42b6-adf3-eb68bff2f171""}}}",1,7.21,7.21,7.21,7.21,7.21,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""e5a283ea-399c-460f-87fa-841b4deba86d""}}}",1,9.12,9.12,9.12,9.12,9.12,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""eef4a179-c813-43e1-916c-8157822a4919""}}}",1,7.03,7.03,7.03,7.03,7.03,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""efce48bb-5cb4-41d0-96a0-cb4bdc1be740""}}}",1,2.49,2.49,2.49,2.49,2.49,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""f29266e4-c338-4ffc-99f6-1d1fde94f3d4""}}}",1,9.60,9.60,9.60,9.60,9.60,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""f317d5a1-c9ef-48be-b856-a6dd5d784180""}}}",1,2.44,2.44,2.44,2.44,2.44,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""f94fb9a8-bbe2-493e-9cb4-4f94a6050796""}}}",1,7.25,7.25,7.25,7.25,7.25,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""fc91ef0b-60c1-4c4f-a3f8-8ebfd846bf51""}}}",1,9.40,9.40,9.40,9.40,9.40,0,,,,,
waitingforcleanup,hostcleanup,50,203.89,212.84,240.31,240.42,11000.78,50,212.82,50,210.00,291.00,
waitingforcleanup,init,50,2.03,11.82,12.85,12.86,489.78,50,11.79,50,8.59,14.36,
