state,substate,n_sql,dwell_min_s,dwell_p50_s,dwell_p95_s,dwell_max_s,dwell_sum_s,n_loki,loki_p50_s,prom_entered,prom_p50_s,prom_p95_s,flags
bomvalidating,*,50,2.40,6.97,9.45,9.46,352.80,50,6.97,50,,,
created,*,50,0.00,0.00,0.00,0.00,0.00,0,,,,,
dpudiscoveringstate,*,550,2.08,11.10,12.19,15.56,5664.60,550,11.05,500,,,
dpuinit,*,300,2.02,11.30,140.14,151.94,9456.88,300,11.29,300,,,
hostinit,*,1050,2.01,11.30,140.64,332.73,31459.62,1050,11.29,1050,,,
ready,*,0,,,,,,0,,50,,,SQL_OPEN(50)
validation,*,50,2.30,7.12,9.60,9.60,335.38,50,7.11,50,,,
waitingforcleanup,*,100,2.03,108.37,238.14,240.42,11490.56,100,108.35,100,,,
bomvalidating,,50,2.40,6.97,9.45,9.46,352.80,0,,,,,
bomvalidating,matchingsku,0,,,,,,50,6.97,50,8.06,14.31,
created,,50,0.00,0.00,0.00,0.00,0.00,0,,,,,
dpudiscoveringstate,configuring,0,,,,,,50,11.23,50,10.00,14.50,
dpudiscoveringstate,configuring+initializing,50,2.08,9.71,11.51,11.80,424.81,0,,,,,
dpudiscoveringstate,configuring+rebootalldpus,50,9.29,11.27,12.17,12.23,560.90,0,,,,,
dpudiscoveringstate,disablesecureboot+initializing,50,6.81,9.61,11.73,11.93,495.27,0,,,,,
dpudiscoveringstate,disablesecureboot+rebootalldpus,50,9.25,11.60,11.87,11.96,573.15,0,,,,,
dpudiscoveringstate,enablershim+initializing,50,2.25,9.50,11.21,11.59,466.98,0,,,,,
dpudiscoveringstate,enablershim+rebootalldpus,50,9.81,11.32,12.20,12.27,566.11,0,,,,,
dpudiscoveringstate,initializing,50,2.10,7.39,13.97,15.56,361.41,300,9.70,250,9.62,14.49,
dpudiscoveringstate,initializing+rebootalldpus,50,7.39,11.08,12.19,12.23,560.21,0,,,,,
dpudiscoveringstate,initializing+setuefihttpboot,50,7.06,11.35,11.87,11.87,542.62,0,,,,,
dpudiscoveringstate,rebootalldpus,50,8.97,10.11,12.28,12.28,537.88,200,11.54,200,10.00,14.50,
dpudiscoveringstate,rebootalldpus+setuefihttpboot,50,8.77,11.84,12.22,12.23,575.26,0,,,,,
dpuinit,init,50,7.48,11.43,22.37,27.32,639.29,50,11.40,50,10.81,24.64,
dpuinit,pollingbiossetup+waitingforplatformconfiguration,50,2.02,9.33,11.69,11.69,465.66,0,,,,,
dpuinit,waitingfornetworkconfig+waitingforplatformconfiguration,50,2.38,9.70,11.30,11.31,471.02,0,,,,,
dpuinit,waitingforplatformconfiguration,50,4.61,11.39,11.99,12.16,533.54,150,9.68,150,9.76,14.48,
dpuinit,waitingforplatformpowercycle,100,2.14,66.55,151.11,151.94,7347.37,100,66.52,100,15.00,282.00,
hostinit,discovered,50,2.15,7.39,11.81,11.81,356.02,50,7.38,50,8.06,14.31,
hostinit,enableipmioverlan,50,2.10,11.30,11.84,12.16,534.04,50,11.29,50,9.68,14.47,
hostinit,machinestatemeasuring,0,,,,,,50,12.17,50,10.00,14.50,
hostinit,machinestatespdmmeasuring,0,,,,,,50,11.04,50,10.00,14.50,
hostinit,measuring,50,9.28,12.18,14.81,14.82,632.78,0,,,,,
hostinit,pollingbiossetup,50,2.39,11.34,15.54,17.92,594.57,50,11.32,50,10.22,17.50,
hostinit,setbootorder,100,7.00,11.30,12.39,14.82,1106.56,100,11.27,100,10.00,14.50,
hostinit,spdmmeasuring,50,7.39,11.04,12.18,13.69,524.58,0,,,,,
hostinit,uefisetup,200,2.01,9.35,13.51,53.92,1864.08,200,9.29,200,8.92,14.80,
hostinit,waitingforbiosjob,150,2.22,11.74,20.31,22.18,1960.36,150,11.72,150,11.97,27.50,
hostinit,waitingfordiscovery,100,2.02,9.95,27.41,31.99,1199.73,100,9.95,100,10.73,26.47,
hostinit,waitingforlockdown,200,2.13,40.92,322.19,332.73,22086.19,200,40.89,200,15.00,540.00,
hostinit,waitingforplatformconfiguration,50,2.56,11.61,17.92,17.92,600.71,50,11.58,50,10.95,26.25,
ready,,0,,,,,,0,,50,,,SQL_OPEN(50)
validation,reboothost,0,,,,,,50,7.11,50,8.06,14.31,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""05278a64-4f62-42da-937f-76f23fce8341""}}}",1,6.75,6.75,6.75,6.75,6.75,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""0c3b63d7-daad-48cc-9df2-29e13c52ff21""}}}",1,9.40,9.40,9.40,9.40,9.40,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""11525335-2fcf-4d93-814c-2a1b2dc9fb30""}}}",1,9.40,9.40,9.40,9.40,9.40,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""1307d7a8-aa67-43fb-bbf0-0ea4bb8cbec0""}}}",1,7.02,7.02,7.02,7.02,7.02,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""1d8ad367-845b-4095-a8e5-eb8025818e11""}}}",1,7.24,7.24,7.24,7.24,7.24,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""22deb4c6-0f99-43fe-8342-c7a1da6741fa""}}}",1,2.31,2.31,2.31,2.31,2.31,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""235af05b-2b62-4b0d-ab6f-2201b262bd68""}}}",1,9.42,9.42,9.42,9.42,9.42,0,,,,,
