state,substate,n_sql,dwell_min_s,dwell_p50_s,dwell_p95_s,dwell_max_s,dwell_sum_s,n_loki,loki_p50_s,prom_entered,prom_p50_s,prom_p95_s,flags
bomvalidating,*,167,18.60,35.59,39.42,44.16,5724.16,167,35.59,167,,,
created,*,167,0.00,0.00,0.00,0.00,0.00,0,,,,,
dpudiscoveringstate,*,1837,0.06,36.74,51.94,57.22,58211.24,1837,36.71,1670,,,
dpuinit,*,1002,6.76,39.00,166.38,205.54,57357.62,1002,38.95,1002,,,
hostinit,*,3507,4.88,38.16,148.96,369.71,190265.00,3507,38.13,3507,,,
ready,*,0,,,,,,0,,167,,,SQL_OPEN(167)
validation,*,167,27.67,35.57,38.48,39.88,5852.28,167,35.55,167,,,
waitingforcleanup,*,334,28.28,39.99,320.78,386.59,41155.24,334,39.97,334,,,
bomvalidating,,167,18.60,35.59,39.42,44.16,5724.16,0,,,,,
bomvalidating,matchingsku,0,,,,,,167,35.59,167,42.84,58.28,
created,,167,0.00,0.00,0.00,0.00,0.00,0,,,,,
dpudiscoveringstate,configuring,0,,,,,,167,38.68,167,41.72,58.17,
dpudiscoveringstate,configuring+initializing,167,2.27,20.86,39.38,51.74,3948.04,0,,,,,
dpudiscoveringstate,configuring+rebootalldpus,167,0.10,38.70,52.15,57.22,5853.52,0,,,,,
dpudiscoveringstate,disablesecureboot+initializing,167,2.02,35.19,51.99,52.61,5062.87,0,,,,,
dpudiscoveringstate,disablesecureboot+rebootalldpus,167,0.10,36.76,41.38,54.18,5840.27,0,,,,,
dpudiscoveringstate,enablershim+initializing,167,2.37,29.61,52.12,54.18,4983.59,0,,,,,
dpudiscoveringstate,enablershim+rebootalldpus,167,2.04,39.16,41.61,42.17,5948.48,0,,,,,
dpudiscoveringstate,initializing,167,1.97,19.14,38.54,41.84,3252.43,1002,32.60,835,31.80,57.18,
dpudiscoveringstate,initializing+rebootalldpus,167,2.03,39.58,52.51,54.30,5888.88,0,,,,,
dpudiscoveringstate,initializing+setuefihttpboot,167,2.02,38.43,54.70,57.16,5634.99,0,,,,,
dpudiscoveringstate,rebootalldpus,167,0.12,37.40,40.80,56.67,5862.14,668,37.34,668,43.52,58.35,
dpudiscoveringstate,rebootalldpus+setuefihttpboot,167,0.06,36.14,52.46,56.68,5936.04,0,,,,,
