state,substate,n_sql,dwell_min_s,dwell_p50_s,dwell_p95_s,dwell_max_s,dwell_sum_s,n_loki,loki_p50_s,prom_entered,prom_p50_s,prom_p95_s,flags
dpuinit,init,167,6.76,38.17,41.52,57.22,5981.48,167,38.11,167,43.63,58.36,
dpuinit,pollingbiossetup+waitingforplatformconfiguration,167,28.25,40.23,56.28,60.59,6600.02,0,,,,,
dpuinit,waitingfornetworkconfig+waitingforplatformconfiguration,167,23.28,36.46,53.74,60.61,6354.35,0,,,,,
dpuinit,waitingforplatformconfiguration,167,22.94,38.46,49.57,56.30,6427.65,501,38.13,501,43.85,58.62,
dpuinit,waitingforplatformpowercycle,334,9.46,81.84,175.62,205.54,31994.13,334,81.82,334,60.00,282.00,
hostinit,discovered,167,27.12,35.29,38.01,39.73,5772.61,167,35.28,167,43.30,58.33,
hostinit,enableipmioverlan,167,23.23,37.52,60.63,60.93,6625.19,167,37.51,167,43.50,78.25,
hostinit,machinestatemeasuring,0,,,,,,167,38.51,167,44.54,58.45,
hostinit,machinestatespdmmeasuring,0,,,,,,167,38.34,167,45.00,58.50,
hostinit,measuring,167,25.66,38.52,45.88,46.40,6255.68,0,,,,,
hostinit,pollingbiossetup,167,32.48,40.61,45.52,55.94,6797.76,167,40.58,167,45.00,58.50,
hostinit,setbootorder,334,23.22,39.34,44.21,46.53,13048.52,334,39.30,334,44.58,58.46,
hostinit,spdmmeasuring,167,30.75,38.34,45.52,45.64,6365.13,0,,,,,
hostinit,uefisetup,668,15.48,35.47,47.21,50.06,23808.14,668,35.45,668,41.98,58.20,
hostinit,waitingforbiosjob,501,29.71,41.82,53.92,62.96,21054.74,501,41.80,501,45.34,59.43,
hostinit,waitingfordiscovery,334,22.39,34.97,44.16,55.92,11772.49,334,34.97,334,41.78,58.18,
hostinit,waitingforlockdown,668,4.88,48.39,340.55,369.71,82206.55,668,48.34,668,59.85,540.00,
hostinit,waitingforplatformconfiguration,167,23.43,39.99,47.36,58.61,6558.19,167,39.93,167,43.63,58.36,
ready,,0,,,,,,0,,167,,,SQL_OPEN(167)
validation,reboothost,0,,,,,,167,35.55,167,44.15,58.41,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""076ff61b-0654-48ad-9745-b301edb172e7""}}}",1,33.03,33.03,33.03,33.03,33.03,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""07f4c075-3d8f-4c67-b8b9-40d163fb158b""}}}",1,35.57,35.57,35.57,35.57,35.57,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""0b909e2e-5844-459a-a1aa-22d3b4971a1e""}}}",1,35.56,35.56,35.56,35.56,35.56,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""0e7e978c-c38d-4c44-bdba-46dc56e399bd""}}}",1,38.48,38.48,38.48,38.48,38.48,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""0f0dcf90-b34c-4463-a16b-8c76d7ebcc7e""}}}",1,34.93,34.93,34.93,34.93,34.93,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""10229306-9607-490f-8a57-53271b36e9ba""}}}",1,38.48,38.48,38.48,38.48,38.48,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""1070978d-5446-4c5d-b756-ffd786845f5a""}}}",1,31.35,31.35,31.35,31.35,31.35,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""10c91248-f24a-4e7d-ae6a-0fd308e09b28""}}}",1,37.81,37.81,37.81,37.81,37.81,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""139afbdb-2093-43cc-a2bd-aa2b86b1fb1b""}}}",1,38.50,38.50,38.50,38.50,38.50,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""14171e7d-cc05-4452-ad87-13bb63a2bc9a""}}}",1,33.64,33.64,33.64,33.64,33.64,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""14fa96d5-f884-4bc4-b73e-b191c533de39""}}}",1,37.95,37.95,37.95,37.95,37.95,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""16d8593e-38cb-49e1-ace5-585a64926cad""}}}",1,37.95,37.95,37.95,37.95,37.95,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""16ebdab6-68a1-4b1e-b967-22fcefb6551a""}}}",1,35.69,35.69,35.69,35.69,35.69,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""17740a03-7328-4ff3-80b8-ceb9a611af62""}}}",1,37.45,37.45,37.45,37.45,37.45,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""1838ed82-008a-4328-ad7d-60df580acba5""}}}",1,34.94,34.94,34.94,34.94,34.94,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""1d2b7e81-1fb4-489c-8d41-60542c99d375""}}}",1,30.44,30.44,30.44,30.44,30.44,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""1de367c8-d48d-4be7-88e2-b2ddfb8e29e1""}}}",1,37.07,37.07,37.07,37.07,37.07,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""1dff0e35-895b-41b4-8865-6652186b0ae7""}}}",1,36.14,36.14,36.14,36.14,36.14,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""1e58f15e-cca9-4639-9e18-800d8d713d96""}}}",1,37.14,37.14,37.14,37.14,37.14,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""1eaa24b1-e400-43df-b07d-7f5537626619""}}}",1,36.14,36.14,36.14,36.14,36.14,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""1f427838-9a73-4b6e-a4a4-4a2084bfb19a""}}}",1,31.09,31.09,31.09,31.09,31.09,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""228f0e0f-6299-42c0-8f63-01f708e75fde""}}}",1,35.94,35.94,35.94,35.94,35.94,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""230a20fb-9c26-4e6f-9ada-5a7d18454de3""}}}",1,34.94,34.94,34.94,34.94,34.94,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""26a1ac5a-3178-40e1-869d-c824daddd0ba""}}}",1,34.25,34.25,34.25,34.25,34.25,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""293870ec-2c74-4f8d-98c5-959e5c078711""}}}",1,38.08,38.08,38.08,38.08,38.08,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""2f7dc4ea-a72c-43db-bbd9-d8bfc7d61cb3""}}}",1,39.87,39.87,39.87,39.87,39.87,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""2fabb74d-906e-42b5-a07f-3ae689f25384""}}}",1,34.25,34.25,34.25,34.25,34.25,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""2fdd3bb9-2d25-474e-8996-cd88fc8fdc76""}}}",1,33.02,33.02,33.02,33.02,33.02,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""30ba3985-dd70-4d1f-8a95-96f583cefa72""}}}",1,27.68,27.68,27.68,27.68,27.68,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""31324d72-a05b-4cc7-930c-22cff93cc89f""}}}",1,35.56,35.56,35.56,35.56,35.56,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""32669155-3230-4b58-bc2d-71a16099b218""}}}",1,32.94,32.94,32.94,32.94,32.94,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""3353a2bb-f643-4976-a354-388f0bbcf765""}}}",1,35.84,35.84,35.84,35.84,35.84,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""340c0c5a-f5bc-48b8-bcb1-be36a13a25ed""}}}",1,37.15,37.15,37.15,37.15,37.15,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""347bcbb5-82ea-4f53-8c40-c079d45ca4e8""}}}",1,39.88,39.88,39.88,39.88,39.88,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""348e4998-faa5-4b85-9512-203732e97337""}}}",1,34.25,34.25,34.25,34.25,34.25,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""358a3d96-aebd-48ca-85bf-0ca7eb8d6d7c""}}}",1,39.88,39.88,39.88,39.88,39.88,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""3741daee-b9e5-4fa9-93fc-5623a660e35b""}}}",1,35.88,35.88,35.88,35.88,35.88,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""38659958-3b98-42d8-b6cf-62945d6f7b97""}}}",1,32.83,32.83,32.83,32.83,32.83,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""38bf44e7-7f79-44fb-ab70-95f4aa4afb7f""}}}",1,35.23,35.23,35.23,35.23,35.23,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""39e37e01-ad3a-43a2-b8e4-e45f4fb3f58c""}}}",1,35.87,35.87,35.87,35.87,35.87,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""39ea719a-9029-46d0-be56-e1e1503715f5""}}}",1,38.10,38.10,38.10,38.10,38.10,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""3b46654d-b74b-4d72-82c5-c36668de46f1""}}}",1,37.59,37.59,37.59,37.59,37.59,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""3bea3356-7cce-4854-965d-8adad5d18891""}}}",1,38.33,38.33,38.33,38.33,38.33,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""3cf13e6d-ae5b-4c73-a838-f7e61ef18e84""}}}",1,35.35,35.35,35.35,35.35,35.35,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""3dc24b26-5a39-4f19-bea0-5d3271bd25e2""}}}",1,37.83,37.83,37.83,37.83,37.83,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""3f768339-d98c-4e10-ab90-89435893fcc7""}}}",1,31.30,31.30,31.30,31.30,31.30,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""3f8d2dc9-e10d-4099-97d8-4da9435f2f55""}}}",1,34.24,34.24,34.24,34.24,34.24,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""401b55d4-8070-42b1-83d7-879ae0314c0e""}}}",1,33.44,33.44,33.44,33.44,33.44,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""4453586a-e956-4888-b691-c123ec1b6fec""}}}",1,31.09,31.09,31.09,31.09,31.09,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""447ae40a-b914-45a1-b0f5-92b1f44b3468""}}}",1,28.93,28.93,28.93,28.93,28.93,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""4642b052-c70b-44e4-97dc-da1544cb1e86""}}}",1,33.29,33.29,33.29,33.29,33.29,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""4836cb3a-9372-407a-b9b0-d73a34d411d8""}}}",1,35.05,35.05,35.05,35.05,35.05,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""4a5c756f-80e9-4e4f-900e-8ebdd8e766da""}}}",1,35.06,35.06,35.06,35.06,35.06,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""4b5f4167-f757-4714-8ee2-774f8c4c08b5""}}}",1,36.14,36.14,36.14,36.14,36.14,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""4bb75485-8d58-4c08-9f56-b6acf8494026""}}}",1,38.55,38.55,38.55,38.55,38.55,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""4d0083fc-8484-4f11-bd9d-35a2625a7561""}}}",1,38.31,38.31,38.31,38.31,38.31,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""50ac8840-a0c3-4eb3-95d5-5b7e9a4f84b0""}}}",1,35.86,35.86,35.86,35.86,35.86,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""5220b8df-a731-4905-b41f-77861733aec3""}}}",1,37.90,37.90,37.90,37.90,37.90,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""52593630-e06c-42cb-96de-2f711882b2f3""}}}",1,28.92,28.92,28.92,28.92,28.92,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""53369dc7-ceab-4ba8-a68b-df4e94e83e9e""}}}",1,32.87,32.87,32.87,32.87,32.87,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""55696e7e-62b4-49c1-b2a8-1df15a374d67""}}}",1,35.70,35.70,35.70,35.70,35.70,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""557aa110-4863-43dc-84b2-ea056e2d863c""}}}",1,35.85,35.85,35.85,35.85,35.85,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""558e6f1e-96e5-4b82-bf63-e52dc1b930b8""}}}",1,34.99,34.99,34.99,34.99,34.99,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""565c6834-2e81-4852-803a-4c0339fadda1""}}}",1,31.02,31.02,31.02,31.02,31.02,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""5a104fc8-1c38-456d-bdac-7c0ce243337b""}}}",1,34.93,34.93,34.93,34.93,34.93,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""5d7deb00-ece7-4c37-a082-e895bd43f125""}}}",1,31.85,31.85,31.85,31.85,31.85,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""5e6fc4d9-422c-438c-8899-53b2cf502aea""}}}",1,38.32,38.32,38.32,38.32,38.32,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""5ec79e6e-8513-4247-9464-05ba853cd370""}}}",1,34.25,34.25,34.25,34.25,34.25,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""5f3725b8-27fc-4bb5-af43-c869c5a7c87c""}}}",1,30.82,30.82,30.82,30.82,30.82,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""600671a4-6a9e-4929-8c85-b40b3f3cb31c""}}}",1,38.48,38.48,38.48,38.48,38.48,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""600f96b3-d65b-4943-9c93-0be3297e6948""}}}",1,34.25,34.25,34.25,34.25,34.25,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""6048b098-c3b8-4d73-8a95-bd8f91bb75ce""}}}",1,35.91,35.91,35.91,35.91,35.91,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""60810aaa-202c-4afa-8352-3e7728bbd4ae""}}}",1,33.01,33.01,33.01,33.01,33.01,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""6095f2dd-4298-4d09-bdcc-ea58516dd9df""}}}",1,36.58,36.58,36.58,36.58,36.58,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""60a903ba-bad3-4893-9d5b-cb67f052365c""}}}",1,35.88,35.88,35.88,35.88,35.88,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""60d1971b-1783-4ab7-b422-a5d1d4cf0b8b""}}}",1,34.25,34.25,34.25,34.25,34.25,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""6187bccd-5100-4545-bc30-847f45f4edc5""}}}",1,38.32,38.32,38.32,38.32,38.32,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""625d376e-25af-42ab-b168-ccf5546edb12""}}}",1,35.67,35.67,35.67,35.67,35.67,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""62fbf097-6dfe-4586-80a2-1419cb77a9ab""}}}",1,34.93,34.93,34.93,34.93,34.93,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""64346ea9-be34-4f08-a3aa-62ef0d66db79""}}}",1,32.82,32.82,32.82,32.82,32.82,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""6976ca1e-5cec-4781-8c39-1ab54ff0df20""}}}",1,35.91,35.91,35.91,35.91,35.91,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""6b7eea41-c5e6-4ca9-a03a-9fd850455699""}}}",1,31.10,31.10,31.10,31.10,31.10,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""6c517e36-e77f-4a43-8dbc-1de6030f367e""}}}",1,30.43,30.43,30.43,30.43,30.43,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""6de34623-c2a3-4d4f-b933-8a9546e1f0cd""}}}",1,37.90,37.90,37.90,37.90,37.90,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""70c31a21-110e-47d6-9f13-f931d4668580""}}}",1,28.93,28.93,28.93,28.93,28.93,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""720d45da-365c-4204-a703-19245345ee24""}}}",1,35.29,35.29,35.29,35.29,35.29,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""728c80de-45a9-4349-8a78-3d5f56ef9382""}}}",1,33.29,33.29,33.29,33.29,33.29,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""73345470-3b06-4903-8ff5-0312eab41922""}}}",1,31.09,31.09,31.09,31.09,31.09,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""7337eafc-dbde-4be5-8efa-2d9570265aee""}}}",1,36.58,36.58,36.58,36.58,36.58,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""75a0a7c4-8c35-4e18-be04-ff43a2720cbf""}}}",1,31.38,31.38,31.38,31.38,31.38,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""75f72ca1-97c9-4288-876f-e172bcdc307e""}}}",1,37.94,37.94,37.94,37.94,37.94,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""77ed1cb6-3078-4dc8-a968-58d6fb9a5922""}}}",1,33.28,33.28,33.28,33.28,33.28,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""7816bcf5-3cc3-4340-8bbc-e55e4d39bbf2""}}}",1,32.94,32.94,32.94,32.94,32.94,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""7a9b6275-829e-4804-a300-1c20a99181b6""}}}",1,38.48,38.48,38.48,38.48,38.48,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""7ca0936f-465d-4e84-9ebb-9cd9ae7bedd8""}}}",1,37.95,37.95,37.95,37.95,37.95,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""7db259e1-e731-4353-8bbb-5216640c5d6d""}}}",1,34.27,34.27,34.27,34.27,34.27,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""7ea3dab7-eb80-42de-a3db-9855d79781fe""}}}",1,37.92,37.92,37.92,37.92,37.92,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""88ad640e-9409-4f24-9f32-f5ba5189ddbb""}}}",1,33.03,33.03,33.03,33.03,33.03,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""8996d0cc-f65a-44aa-a7b3-ed7f8a61a2ba""}}}",1,28.93,28.93,28.93,28.93,28.93,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""8daf98aa-7c13-4c30-9b30-587f930f814d""}}}",1,37.83,37.83,37.83,37.83,37.83,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""8ea36962-489e-4815-9c39-51e57f08d546""}}}",1,35.88,35.88,35.88,35.88,35.88,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""8f265471-e6ad-4f1e-bf42-bc55f861dfdc""}}}",1,35.88,35.88,35.88,35.88,35.88,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""902fbd87-f377-4fa0-881b-42dbb1a75e96""}}}",1,35.57,35.57,35.57,35.57,35.57,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""9ccff42e-1475-484e-80a1-a18bfc533bc0""}}}",1,34.25,34.25,34.25,34.25,34.25,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""9cd3eab3-420d-4797-ad91-6562a94841f4""}}}",1,36.58,36.58,36.58,36.58,36.58,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""9d32d3aa-e634-484f-b41b-ee7d5b682d59""}}}",1,35.88,35.88,35.88,35.88,35.88,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""9f375fa0-d774-4f01-bbfa-6b1dc3c7b602""}}}",1,35.91,35.91,35.91,35.91,35.91,0,,,,,
