state,substate,n_sql,dwell_min_s,dwell_p50_s,dwell_p95_s,dwell_max_s,dwell_sum_s,n_loki,loki_p50_s,prom_entered,prom_p50_s,prom_p95_s,flags
bomvalidating,*,5,2.30,2.36,2.36,2.36,11.67,5,2.35,5,,,
created,*,5,0.00,0.00,0.00,0.00,0.00,0,,,,,
dpudiscoveringstate,*,55,2.14,2.40,2.76,3.10,137.09,55,2.37,50,,,
dpuinit,*,30,0.05,2.44,134.16,134.16,783.56,30,2.39,30,,,
hostinit,*,105,2.10,2.54,77.86,315.70,2268.24,105,2.52,105,,,
ready,*,0,,,,,,0,,5,,,SQL_OPEN(5)
validation,*,5,2.31,2.31,2.31,2.31,11.55,5,2.30,5,,,
waitingforcleanup,*,10,2.42,143.10,283.79,283.79,1431.06,10,143.08,10,,,
bomvalidating,,5,2.30,2.36,2.36,2.36,11.67,0,,,,,
bomvalidating,matchingsku,0,,,,,,5,2.35,5,3.00,4.80,
created,,5,0.00,0.00,0.00,0.00,0.00,0,,,,,
dpudiscoveringstate,configuring,0,,,,,,5,2.37,5,3.00,4.80,
dpudiscoveringstate,configuring+initializing,5,2.65,2.66,2.66,2.66,13.28,0,,,,,
dpudiscoveringstate,configuring+rebootalldpus,5,2.39,2.39,2.40,2.40,11.96,0,,,,,
dpudiscoveringstate,disablesecureboot+initializing,5,2.28,2.28,2.28,2.28,11.39,0,,,,,
dpudiscoveringstate,disablesecureboot+rebootalldpus,5,2.28,2.28,2.29,2.29,11.42,0,,,,,
dpudiscoveringstate,enablershim+initializing,5,2.65,2.65,2.65,2.65,13.25,0,,,,,
dpudiscoveringstate,enablershim+rebootalldpus,5,2.14,2.15,2.15,2.15,10.72,0,,,,,
dpudiscoveringstate,initializing,5,2.65,2.88,3.10,3.10,14.40,30,2.63,25,3.00,4.80,
dpudiscoveringstate,initializing+rebootalldpus,5,2.34,2.35,2.35,2.35,11.73,0,,,,,
dpudiscoveringstate,initializing+setuefihttpboot,5,2.66,2.66,2.66,2.66,13.31,0,,,,,
dpudiscoveringstate,rebootalldpus,5,2.39,2.40,2.47,2.47,12.12,20,2.31,20,3.00,4.80,
dpudiscoveringstate,rebootalldpus+setuefihttpboot,5,2.66,2.72,2.73,2.73,13.51,0,,,,,
dpuinit,init,5,15.52,15.53,15.53,15.53,77.63,5,15.50,5,22.50,29.25,
dpuinit,pollingbiossetup+waitingforplatformconfiguration,5,0.05,0.06,0.06,0.06,0.29,0,,,,,
dpuinit,waitingfornetworkconfig+waitingforplatformconfiguration,5,2.09,2.09,2.09,2.09,10.46,0,,,,,
dpuinit,waitingforplatformconfiguration,5,2.19,2.20,2.20,2.20,10.99,15,2.08,15,2.00,4.70,
dpuinit,waitingforplatformpowercycle,10,2.68,68.42,134.16,134.16,684.20,10,68.38,10,5.00,282.00,
hostinit,discovered,5,2.30,2.30,2.31,2.31,11.52,5,2.29,5,3.00,4.80,
hostinit,enableipmioverlan,5,2.10,2.10,2.10,2.10,10.51,5,2.09,5,3.00,4.80,
hostinit,machinestatemeasuring,0,,,,,,5,2.59,5,3.00,4.80,
hostinit,machinestatespdmmeasuring,0,,,,,,5,2.31,5,3.00,4.80,
hostinit,measuring,5,2.59,2.60,2.60,2.60,12.97,0,,,,,
hostinit,pollingbiossetup,5,2.51,2.51,2.52,2.52,12.57,5,2.49,5,3.00,4.80,
hostinit,setbootorder,10,2.32,2.48,2.63,2.63,24.78,10,2.45,10,3.00,4.80,
hostinit,spdmmeasuring,5,2.31,2.32,2.32,2.32,11.60,0,,,,,
hostinit,uefisetup,20,2.32,2.53,7.14,7.15,72.66,20,2.51,20,3.67,13.00,
hostinit,waitingforbiosjob,15,2.38,2.53,7.43,7.44,61.75,15,2.51,15,4.00,13.50,
hostinit,waitingfordiscovery,10,2.59,4.42,6.26,6.26,44.25,10,4.42,10,5.00,14.00,
hostinit,waitingforlockdown,20,2.29,40.24,315.70,315.70,1992.50,20,40.21,20,5.00,540.00,
hostinit,waitingforplatformconfiguration,5,2.63,2.63,2.63,2.63,13.14,5,2.60,5,3.00,4.80,
ready,,0,,,,,,0,,5,,,SQL_OPEN(5)
validation,reboothost,0,,,,,,5,2.30,5,3.00,4.80,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""0289069b-5d51-426f-8a9d-15ed29ea64b5""}}}",1,2.31,2.31,2.31,2.31,2.31,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""17d6539b-dbcd-4e52-adcd-b200878ca524""}}}",1,2.31,2.31,2.31,2.31,2.31,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""8817ada7-4f87-4d87-90f8-41b92699f08a""}}}",1,2.31,2.31,2.31,2.31,2.31,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""985d1aa0-3e50-4c57-b77e-6fa5d37339f6""}}}",1,2.31,2.31,2.31,2.31,2.31,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""a490d8c0-1205-4f65-a0bf-e3a879d59ae2""}}}",1,2.31,2.31,2.31,2.31,2.31,0,,,,,
waitingforcleanup,hostcleanup,5,283.78,283.79,283.79,283.79,1418.92,5,283.76,5,210.00,291.00,
waitingforcleanup,init,5,2.42,2.43,2.43,2.43,12.13,5,2.41,5,3.00,4.80,
